no,urban,Lokal,milenial,pasmil,belum,sudah,pernah,laki_laki,perempuan,golput
1,rendah,tinggi,tinggi,rendah,rendah,tinggi,rendah,rendah,tinggi,kecil
2,tinggi,rendah,tinggi,rendah,tinggi,rendah,tinggi,rendah,tinggi,kecil
3,rendah,tinggi,tinggi,tinggi,rendah,tinggi,rendah,rendah,tinggi,kecil
4,tinggi,rendah,rendah,tinggi,rendah,tinggi,tinggi,tinggi,rendah,kecil
5,rendah,tinggi,tinggi,rendah,rendah,tinggi,tinggi,rendah,tinggi,kecil
6,tinggi,rendah,tinggi,tinggi,tinggi,tinggi,rendah,tinggi,rendah,kecil
7,tinggi,rendah,tinggi,rendah,tinggi,rendah,tinggi,rendah,tinggi,kecil
8,rendah,tinggi,rendah,tinggi,tinggi,rendah,tinggi,rendah,tinggi,kecil
9,tinggi,rendah,rendah,tinggi,rendah,tinggi,tinggi,rendah,tinggi,kecil
10,tinggi,rendah,rendah,tinggi,tinggi,rendah,tinggi,rendah,tinggi,kecil
11,tinggi,rendah,tinggi,tinggi,rendah,rendah,tinggi,tinggi,rendah,kecil
12,tinggi,rendah,rendah,tinggi,tinggi,rendah,tinggi,tinggi,rendah,kecil
13,rendah,tinggi,tinggi,tinggi,rendah,tinggi,tinggi,rendah,tinggi,kecil
14,rendah,tinggi,rendah,tinggi,rendah,rendah,tinggi,rendah,tinggi,kecil
15,tinggi,rendah,tinggi,rendah,tinggi,rendah,rendah,rendah,tinggi,kecil
16,tinggi,rendah,tinggi,rendah,tinggi,rendah,rendah,tinggi,rendah,kecil
17,tinggi,rendah,rendah,tinggi,rendah,tinggi,rendah,rendah,tinggi,besar
18,tinggi,rendah,tinggi,rendah,tinggi,rendah,tinggi,tinggi,rendah,besar
19,tinggi,rendah,tinggi,rendah,tinggi,rendah,tinggi,tinggi,rendah,besar
20,rendah,tinggi,rendah,rendah,tinggi,rendah,rendah,rendah,tinggi,besar
21,rendah,tinggi,rendah,rendah,tinggi,tinggi,rendah,tinggi,rendah,besar
22,rendah,tinggi,rendah,rendah,tinggi,rendah,rendah,tinggi,rendah,besar
23,rendah,tinggi,rendah,tinggi,tinggi,rendah,tinggi,tinggi,rendah,besar
24,rendah,tinggi,rendah,rendah,tinggi,rendah,tinggi,rendah,tinggi,besar
25,rendah,tinggi,rendah,tinggi,tinggi,rendah,tinggi,tinggi,rendah,besar
26,rendah,tinggi,rendah,rendah,rendah,tinggi,rendah,rendah,tinggi,besar
27,rendah,tinggi,rendah,rendah,rendah,tinggi,rendah,rendah,tinggi,besar
28,rendah,tinggi,rendah,rendah,rendah,tinggi,rendah,tinggi,rendah,besar
29,rendah,tinggi,rendah,tinggi,rendah,tinggi,tinggi,rendah,tinggi,besar
30,rendah,tinggi,rendah,rendah,rendah,tinggi,tinggi,tinggi,rendah,besar
